id,name,description
T1548,Abuse Elevation Control Mechanism,'Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions. Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine. Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk. An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.'
T1548.001,Setuid and Setgid,'An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s context. On Linux or macOS'
T1548.002,Bypass User Account Control,'Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions'
T1548.003,Sudo and Sudo Caching,'Adversaries may perform sudo caching and/or use the sudoers file to elevate privileges. Adversaries may do this to execute commands as other users or spawn processes with higher privileges.'
T1548.004,Elevated Execution with Prompt,'Adversaries may leverage the AuthorizationExecuteWithPrivileges API to escalate privileges by prompting the user for credentials. The purpose of this API is to give application developers an easy way to perform operations with root privileges'
T1548.005,Temporary Elevated Cloud Access,'Adversaries may abuse permission configurations that allow them to gain temporarily elevated access to cloud resources. Many cloud environments allow administrators to grant user or service accounts permission to request just-in-time access to roles'
T1548.006,TCC Manipulation,'Adversaries can manipulate or abuse the Transparency'
T1134,Access Token Manipulation,'Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls. Windows uses access tokens to determine the ownership of a running process. A user can manipulate access tokens to make a running process appear as though it is the child of a different process or belongs to someone other than the user that started the process. When this occurs'
T1134.001,Token Impersonation/Theft,'Adversaries may duplicate then impersonate another user's existing token to escalate privileges and bypass access controls. For example'
T1134.002,Create Process with Token,'Adversaries may create a new process with an existing token to escalate privileges and bypass access controls. Processes can be created with the token and resulting security context of another user using features such as CreateProcessWithTokenW and runas.'
T1134.003,Make and Impersonate Token,'Adversaries may make new tokens and impersonate users to escalate privileges and bypass access controls. For example'
T1134.004,Parent PID Spoofing,'Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges. New processes are typically spawned directly from their parent'
T1134.005,SID-History Injection,'Adversaries may use SID-History Injection to escalate privileges and bypass access controls. The Windows security identifier (SID) is a unique value that identifies a user or group account. SIDs are used by Windows security in both security descriptors and access tokens. An account can hold additional SIDs in the SID-History Active Directory attribute '
T1531,Account Access Removal,'Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted'
T1087,Account Discovery,'Adversaries may attempt to get a listing of valid accounts'
T1087.001,Local Account,'Adversaries may attempt to get a listing of local system accounts. This information can help adversaries determine which local accounts exist on a system to aid in follow-on behavior.'
T1087.002,Domain Account,'Adversaries may attempt to get a listing of domain accounts. This information can help adversaries determine which domain accounts exist to aid in follow-on behavior such as targeting specific accounts which possess particular privileges.'
T1087.003,Email Account,'Adversaries may attempt to get a listing of email addresses and accounts. Adversaries may try to dump Exchange address lists such as global address lists (GALs).'
T1087.004,Cloud Account,'Adversaries may attempt to get a listing of cloud accounts. Cloud accounts are those created and configured by an organization for use by users'
T1098,Account Manipulation,'Adversaries may manipulate accounts to maintain and/or elevate access to victim systems. Account manipulation may consist of any action that preserves or modifies adversary access to a compromised account'
T1098.001,Additional Cloud Credentials,'Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment.'
T1098.002,Additional Email Delegate Permissions,'Adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account.'
T1098.003,Additional Cloud Roles,'An adversary may add additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant. For example'
T1098.004,SSH Authorized Keys,'Adversaries may modify the SSH authorized_keys file to maintain persistence on a victim host. Linux distributions and macOS commonly use key-based authentication to secure the authentication process of SSH sessions for remote management. The authorized_keys file in SSH specifies the SSH keys that can be used for logging into the user account for which the file is configured. This file is usually found in the user's home directory under <user-home>/.ssh/authorized_keys. Users may edit the system’s SSH config file to modify the directives PubkeyAuthentication and RSAAuthentication to the value "yes" to ensure public key and RSA authentication are enabled. The SSH config file is usually located under /etc/ssh/sshd_config.'
T1098.005,Device Registration,'Adversaries may register a device to an adversary-controlled account. Devices may be registered in a multifactor authentication (MFA) system'
T1098.006,Additional Container Cluster Roles,'An adversary may add additional roles or permissions to an adversary-controlled user or service account to maintain persistent access to a container orchestration system. For example'
T1098.007,Additional Local or Domain Groups,'An adversary may add additional local or domain groups to an adversary-controlled account to maintain persistent access to a system or domain.'
T1650,Acquire Access,'Adversaries may purchase or otherwise acquire an existing access to a target system or network. A variety of online services and initial access broker networks are available to sell access to previously compromised systems. In some cases'
T1583,Acquire Infrastructure,'Adversaries may buy'
T1583.001,Domains,'Adversaries may acquire domains that can be used during targeting. Domain names are the human readable names used to represent one or more IP addresses. They can be purchased or'
T1583.002,DNS Server,'Adversaries may set up their own Domain Name System (DNS) servers that can be used during targeting. During post-compromise activity'
T1583.003,Virtual Private Server,'Adversaries may rent Virtual Private Servers (VPSs) that can be used during targeting. There exist a variety of cloud service providers that will sell virtual machines/containers as a service. By utilizing a VPS'
T1583.004,Server,'Adversaries may buy'
T1583.005,Botnet,'Adversaries may buy'
T1583.006,Web Services,'Adversaries may register for web services that can be used during targeting. A variety of popular websites exist for adversaries to register for a web-based service that can be abused during later stages of the adversary lifecycle'
T1583.007,Serverless,'Adversaries may purchase and configure serverless cloud infrastructure'
T1583.008,Malvertising,'Adversaries may purchase online advertisements that can be abused to distribute malware to victims. Ads can be purchased to plant as well as favorably position artifacts in specific locations online'
T1595,Active Scanning,'Adversaries may execute active reconnaissance scans to gather information that can be used during targeting. Active scans are those where the adversary probes victim infrastructure via network traffic'
T1595.001,Scanning IP Blocks,'Adversaries may scan victim IP blocks to gather information that can be used during targeting. Public IP addresses may be allocated to organizations by block'
T1595.002,Vulnerability Scanning,'Adversaries may scan victims for vulnerabilities that can be used during targeting. Vulnerability scans typically check if the configuration of a target host/application (ex: software and version) potentially aligns with the target of a specific exploit the adversary may seek to use.'
T1595.003,Wordlist Scanning,'Adversaries may iteratively probe infrastructure using brute-forcing and crawling techniques. While this technique employs similar methods to Brute Force'
T1557,Adversary-in-the-Middle,'Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing'
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,'By responding to LLMNR/NBT-NS network traffic'
T1557.002,ARP Cache Poisoning,'Adversaries may poison Address Resolution Protocol (ARP) caches to position themselves between the communication of two or more networked devices. This activity may be used to enable follow-on behaviors such as Network Sniffing or Transmitted Data Manipulation.'
